epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3689.49,1.37268,3.10327,1.72628,0.51271,0.41964,0.46097,0.26766,1.44355,3.02265,1.94158,0.000195917,0.000195917,0.000195917
2,7313.59,1.34633,2.48982,1.7002,0.52784,0.57396,0.53794,0.31785,1.43746,2.74288,1.87249,0.000370362,0.000370362,0.000370362
3,11036.9,1.32671,2.25553,1.67557,0.65648,0.50967,0.55591,0.32984,1.41181,2.38525,1.89789,0.000523246,0.000523246,0.000523246
4,14724.4,1.29494,2.10488,1.6547,0.7037,0.55017,0.64111,0.40179,1.3629,1.93598,1.81945,0.00049098,0.00049098,0.00049098
5,18397.8,1.25786,1.95519,1.61908,0.73006,0.57489,0.63428,0.40611,1.37611,1.84063,1.82773,0.00045864,0.00045864,0.00045864
6,21972.9,1.23394,1.84029,1.59815,0.71374,0.62908,0.68258,0.43269,1.306,1.75656,1.77897,0.0004263,0.0004263,0.0004263
7,25514.4,1.20414,1.75742,1.57757,0.68188,0.6301,0.67941,0.44351,1.26869,1.73784,1.72436,0.00039396,0.00039396,0.00039396
8,29035.8,1.17956,1.68422,1.55847,0.73534,0.64155,0.71043,0.472,1.23913,1.5668,1.72153,0.00036162,0.00036162,0.00036162
9,32801.8,1.22846,1.544,1.72628,0.75257,0.64062,0.73148,0.48488,1.22945,1.43689,1.67649,0.00032928,0.00032928,0.00032928
10,36376.3,1.18731,1.41064,1.67596,0.72509,0.67117,0.72218,0.48703,1.17367,1.4574,1.63977,0.00029694,0.00029694,0.00029694
11,39981.5,1.1643,1.35791,1.66024,0.68916,0.68857,0.73099,0.50638,1.20833,1.41828,1.63931,0.0002646,0.0002646,0.0002646
12,43673.6,1.13095,1.26369,1.62525,0.74406,0.68839,0.74119,0.51198,1.15784,1.3164,1.60488,0.00023226,0.00023226,0.00023226
13,47215,1.09766,1.19858,1.59754,0.72607,0.72737,0.76672,0.53179,1.14782,1.29606,1.60881,0.00019992,0.00019992,0.00019992
14,50715,1.07758,1.1365,1.5695,0.77323,0.69356,0.76712,0.53888,1.13766,1.27374,1.58952,0.00016758,0.00016758,0.00016758
15,54223.4,1.05836,1.08646,1.5557,0.73976,0.76199,0.78067,0.55022,1.11439,1.19194,1.55297,0.00013524,0.00013524,0.00013524
16,57764.5,1.03699,1.05112,1.53143,0.7993,0.72386,0.79028,0.55971,1.11174,1.16367,1.55422,0.0001029,0.0001029,0.0001029
17,61409.6,1.0102,1.00587,1.51063,0.80813,0.74519,0.80242,0.5757,1.09052,1.11244,1.5465,7.056e-05,7.056e-05,7.056e-05
18,65120.9,0.99821,0.97617,1.49839,0.79829,0.74188,0.78951,0.56922,1.08913,1.13385,1.54792,3.822e-05,3.822e-05,3.822e-05
