epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,300.161,1.50272,3.68642,1.3166,0.55627,0.30369,0.28037,0.2082,1.10693,2.43735,1.10526,0.00018416,0.00018416,0.00018416
2,740.204,1.47227,2.43008,1.27405,0.76118,0.4479,0.47458,0.32719,1.07856,1.61237,1.07906,0.000362178,0.000362178,0.000362178
3,1065.44,1.43579,1.92137,1.24912,0.74578,0.60852,0.64154,0.44874,0.99649,1.36319,1.05351,0.000532856,0.000532856,0.000532856
4,1465.81,1.37991,1.66104,1.24299,0.7555,0.69614,0.71279,0.4806,1.06091,1.28185,1.08348,0.000522974,0.000522974,0.000522974
5,1831.99,1.36002,1.52045,1.22798,0.75983,0.69134,0.73376,0.51089,0.98567,1.1868,1.06747,0.000511965,0.000511965,0.000511965
6,2197.8,1.32634,1.40708,1.21964,0.80565,0.71776,0.74443,0.52368,0.94713,1.14406,1.04116,0.000500956,0.000500956,0.000500956
7,2552.42,1.30851,1.32426,1.19621,0.82072,0.72104,0.75807,0.54638,0.93997,1.05126,1.04389,0.000489947,0.000489947,0.000489947
8,2855.23,1.28296,1.29211,1.18744,0.83466,0.69624,0.77826,0.55693,0.93804,1.04366,1.02224,0.000478938,0.000478938,0.000478938
9,3115.34,1.30462,1.27823,1.20203,0.81991,0.73812,0.77562,0.54068,0.96616,1.0216,1.04898,0.00046793,0.00046793,0.00046793
10,3366.93,1.25991,1.22724,1.18143,0.82386,0.7361,0.78284,0.56461,0.92523,1.00738,1.02871,0.000456921,0.000456921,0.000456921
11,3614.11,1.24314,1.20266,1.17161,0.8236,0.74022,0.78286,0.57357,0.91131,1.00454,1.02158,0.000445912,0.000445912,0.000445912
12,3869.75,1.23964,1.17817,1.17163,0.71468,0.78644,0.78709,0.57326,0.88815,0.94172,1.02199,0.000434903,0.000434903,0.000434903
13,4126.92,1.2248,1.15378,1.15465,0.8188,0.75054,0.79491,0.57771,0.89137,0.94116,1.00878,0.000423894,0.000423894,0.000423894
14,4379.2,1.24334,1.13943,1.17237,0.73429,0.83031,0.79572,0.57933,0.89004,0.90404,1.0091,0.000412886,0.000412886,0.000412886
15,4631.65,1.2058,1.11623,1.14607,0.76353,0.79303,0.80044,0.59574,0.88916,0.91869,1.0178,0.000401877,0.000401877,0.000401877
16,4880.94,1.22117,1.12174,1.16258,0.78107,0.77765,0.80765,0.58492,0.87771,0.91354,1.00655,0.000390868,0.000390868,0.000390868
17,5128.1,1.20216,1.09178,1.15521,0.75166,0.79463,0.78896,0.57841,0.88775,0.92682,1.01342,0.000379859,0.000379859,0.000379859
18,5378.68,1.18624,1.06929,1.14584,0.72007,0.79284,0.8365,0.61347,0.87539,0.89343,1.00596,0.00036885,0.00036885,0.00036885
19,5629.07,1.20942,1.06737,1.1488,0.71215,0.84751,0.81292,0.59621,0.88956,0.90492,1.01858,0.000357842,0.000357842,0.000357842
20,5885.37,1.18387,1.04796,1.13504,0.75733,0.81925,0.83165,0.61841,0.8535,0.88557,0.99594,0.000346833,0.000346833,0.000346833
21,6139.38,1.18424,1.04463,1.13859,0.74118,0.85881,0.80513,0.59464,0.86242,0.86381,0.99788,0.000335824,0.000335824,0.000335824
22,6389.35,1.18428,1.04404,1.13258,0.77325,0.81411,0.8309,0.61562,0.87431,0.86938,0.99473,0.000324815,0.000324815,0.000324815
23,6636.77,1.16897,1.02217,1.1378,0.78581,0.80376,0.8207,0.60638,0.85569,0.87967,0.99368,0.000313806,0.000313806,0.000313806
24,6887.19,1.16031,0.99692,1.1182,0.76222,0.80441,0.82262,0.61064,0.86886,0.87183,0.99591,0.000302798,0.000302798,0.000302798
25,7141.83,1.14247,0.99245,1.11428,0.83472,0.77141,0.84954,0.63299,0.87775,0.85599,0.99605,0.000291789,0.000291789,0.000291789
26,7393.19,1.16399,0.99208,1.13219,0.75963,0.81893,0.83503,0.62778,0.85213,0.83941,0.99021,0.00028078,0.00028078,0.00028078
27,7650,1.13331,0.95935,1.10841,0.77305,0.81611,0.82815,0.6286,0.83714,0.84525,0.98339,0.000269771,0.000269771,0.000269771
28,7953.57,1.14074,0.96514,1.12202,0.72443,0.81692,0.81461,0.60016,0.85497,0.83189,0.9934,0.000258762,0.000258762,0.000258762
29,8284.81,1.14392,0.96786,1.11705,0.7612,0.78963,0.80996,0.60341,0.8393,0.83739,0.99093,0.000247754,0.000247754,0.000247754
30,8565.55,1.11658,0.93882,1.10978,0.78038,0.78055,0.80444,0.59389,0.8341,0.83421,0.98343,0.000236745,0.000236745,0.000236745
